Timestamp,Diadema,Intensidad_señal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
2025-04-01 23:16:40,Diadema 3,,,,,,,,,,,
2025-04-01 23:16:41,Diadema 3,,,,,,,,,,,
2025-04-01 23:16:42,Diadema 3,80,0,0,10,11,18,10,7,3,5,2
2025-04-01 23:16:43,Diadema 3,55,0,0,35,29,0,14,7,4,9,3
2025-04-01 23:16:44,Diadema 3,55,0,0,14,35,4,6,3,17,11,11
2025-04-01 23:16:45,Diadema 3,80,0,0,49,84,26,22,3,50,67,14
2025-04-01 23:16:46,Diadema 3,200,0,0,62,9,7,1,1,10,16,10
2025-04-01 23:16:47,Diadema 3,200,0,0,33,33,6,11,4,8,8,20
2025-04-01 23:16:48,Diadema 3,200,0,0,19,9,6,1,2,12,16,11
2025-04-01 23:16:49,Diadema 3,200,0,0,26,3,3,3,6,18,21,14
2025-04-01 23:16:50,Diadema 3,200,0,0,19,16,6,8,2,10,24,10
2025-04-01 23:16:51,Diadema 3,200,0,0,13,6,4,10,5,8,22,9
2025-04-01 23:16:52,Diadema 3,200,0,0,29,34,4,13,4,8,7,24
2025-04-01 23:16:53,Diadema 3,200,0,0,5,12,3,6,10,14,15,6
2025-04-01 23:16:54,Diadema 3,200,0,0,16,3,0,4,3,10,25,8
2025-04-01 23:16:55,Diadema 3,200,0,0,18,16,2,9,3,18,13,4
2025-04-01 23:16:56,Diadema 3,200,0,0,2,0,1,0,1,8,5,0
2025-04-01 23:16:57,Diadema 3,200,0,0,45,3,0,9,2,14,21,6
2025-04-01 23:16:58,Diadema 3,200,0,0,39,1,5,3,3,24,27,3
2025-04-01 23:16:59,Diadema 3,200,0,0,2,2,0,0,0,17,4,1
2025-04-01 23:17:00,Diadema 3,200,0,0,4,3,0,0,0,7,4,1
2025-04-01 23:17:01,Diadema 3,200,0,0,2,3,0,0,1,24,4,1
2025-04-01 23:17:02,Diadema 3,200,0,0,1,1,0,0,0,21,5,1
2025-04-01 23:17:03,Diadema 3,200,0,0,2,1,1,1,0,23,4,0
2025-04-01 23:17:04,Diadema 3,200,0,0,2,0,1,1,0,12,4,1
2025-04-01 23:17:05,Diadema 3,200,0,0,4,1,1,0,0,18,6,2
2025-04-01 23:17:06,Diadema 3,200,0,0,6,3,5,1,2,45,17,4
2025-04-01 23:17:07,Diadema 3,200,0,0,0,0,0,0,0,2,0,0
2025-04-01 23:17:08,Diadema 3,200,0,0,1,0,0,0,0,2,0,0
2025-04-01 23:17:09,Diadema 3,200,0,0,3,1,0,0,1,17,3,1
2025-04-01 23:17:10,Diadema 3,200,0,0,3,1,0,0,0,19,6,0
2025-04-01 23:17:11,Diadema 3,200,0,0,1,1,0,0,0,15,2,2
2025-04-01 23:17:12,Diadema 3,200,0,0,4,4,3,0,2,53,13,13
2025-04-01 23:17:13,Diadema 3,200,0,0,6,2,3,3,1,44,22,11
2025-04-01 23:17:14,Diadema 3,200,0,0,9,1,1,0,0,7,7,1
2025-04-01 23:17:15,Diadema 3,200,0,0,27,7,4,1,2,30,19,4
2025-04-01 23:17:16,Diadema 3,200,0,0,38,14,8,5,2,30,17,14
2025-04-01 23:17:17,Diadema 3,200,0,0,23,1,2,1,4,19,26,11
2025-04-01 23:17:18,Diadema 3,200,0,0,50,7,0,1,3,12,10,2
2025-04-01 23:17:19,Diadema 3,200,0,0,48,1,2,1,3,30,30,7
2025-04-01 23:17:20,Diadema 3,200,0,0,17,1,0,0,0,2,2,1
2025-04-01 23:17:21,Diadema 3,200,0,0,17,1,1,0,1,3,2,0
2025-04-01 23:17:22,Diadema 3,200,0,0,2,1,0,0,0,10,6,1
2025-04-01 23:17:23,Diadema 3,200,0,0,1,2,1,0,0,20,4,1
2025-04-01 23:17:24,Diadema 3,200,0,0,4,0,1,0,2,15,2,0
2025-04-01 23:17:25,Diadema 3,200,0,0,1,1,0,1,0,14,2,1
2025-04-01 23:17:26,Diadema 3,200,0,0,9,3,1,0,1,40,15,7
2025-04-01 23:17:27,Diadema 3,200,0,0,3,0,1,1,0,15,3,2
2025-04-01 23:17:28,Diadema 3,200,0,0,4,2,0,1,1,10,2,2
2025-04-01 23:17:29,Diadema 3,200,0,0,4,10,1,1,2,48,16,6
2025-04-01 23:17:30,Diadema 3,200,0,0,1,0,0,0,0,25,2,0
2025-04-01 23:17:31,Diadema 3,200,0,0,14,1,0,0,0,4,3,1
2025-04-01 23:17:32,Diadema 3,200,0,0,32,1,3,1,3,34,17,5
2025-04-01 23:17:33,Diadema 3,200,0,0,25,5,1,2,3,18,13,13
